date,ticker,name,price
2008-08-29,DJIA,Dow Jones Industrial Average Index  (Price Return),11544.0
2008-08-29,NIKKEI,Nikkei 225 (Price Return),13072.9
2008-08-29,DAX,DAX (Total Return),6422.3
2008-09-01,SMI,SMI (Price Return),7238.7
2008-09-01,EURO50,EuroStoxx 50  (Price Return),3364.4
2008-09-01,DJIA,Dow Jones Industrial Average Index  (Price Return),11544.0
2008-09-01,NIKKEI,Nikkei 225 (Price Return),12834.2
2008-09-01,DAX,DAX (Total Return),6421.8
2008-09-02,SMI,SMI (Price Return),7298.6
2008-09-02,EURO50,EuroStoxx 50  (Price Return),3416.5
2008-09-02,DJIA,Dow Jones Industrial Average Index  (Price Return),11517.0
2008-09-02,NIKKEI,Nikkei 225 (Price Return),12609.5
2008-09-02,DAX,DAX (Total Return),6518.5
2008-09-03,SMI,SMI (Price Return),7256.6
2008-09-03,EURO50,EuroStoxx 50  (Price Return),3369.0
2008-09-03,DJIA,Dow Jones Industrial Average Index  (Price Return),11533.0
2008-09-03,NIKKEI,Nikkei 225 (Price Return),12689.6
2008-09-03,DAX,DAX (Total Return),6467.5
2008-09-04,SMI,SMI (Price Return),7084.6
2008-09-04,EURO50,EuroStoxx 50  (Price Return),3274.8
2008-09-04,DJIA,Dow Jones Industrial Average Index  (Price Return),11188.0
2008-09-04,NIKKEI,Nikkei 225 (Price Return),12557.7
2008-09-04,DAX,DAX (Total Return),6279.6
2008-09-05,SMI,SMI (Price Return),6976.6
2008-09-05,EURO50,EuroStoxx 50  (Price Return),3185.8
2008-09-05,DJIA,Dow Jones Industrial Average Index  (Price Return),11221.0
2008-09-05,NIKKEI,Nikkei 225 (Price Return),12212.2
2008-09-05,DAX,DAX (Total Return),6127.4
2008-09-08,SMI,SMI (Price Return),7177.4
2008-09-08,EURO50,EuroStoxx 50  (Price Return),3284.1
2008-09-08,DJIA,Dow Jones Industrial Average Index  (Price Return),11511.0
2008-09-08,NIKKEI,Nikkei 225 (Price Return),12624.5
2008-09-08,DAX,DAX (Total Return),6263.7
