date,ticker,name,price
2011-06-03,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),115.83
2011-06-03,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.44
2011-06-03,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.76
2011-06-06,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),115.91
2011-06-06,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.41
2011-06-06,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.76
2011-06-07,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),115.76
2011-06-07,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.25
2011-06-07,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.79
2011-06-08,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.16
2011-06-08,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.44
2011-06-08,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.72
2011-06-09,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.33
2011-06-09,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.38
2011-06-09,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.7
2011-06-10,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.77
2011-06-10,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.55
2011-06-10,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.62
2011-06-13,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.77
2011-06-13,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.48
2011-06-13,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.62
2011-06-14,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.46
2011-06-14,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.13
2011-06-14,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.67
2011-06-15,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.5
2011-06-15,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.44
2011-06-15,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.66
2011-06-16,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.58
2011-06-16,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.6
2011-06-16,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.66
2011-06-17,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.61
2011-06-17,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.47
2011-06-17,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.66
2011-06-20,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.56
2011-06-20,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.44
2011-06-20,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.66
2011-06-21,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.5
2011-06-21,GLOBAL-AGG,"Bloomberg Global Aggregate Bond Index (Total Return Index, CHF hedged.)",148.39
2011-06-21,CH-GOV-10Y,Switzerland Government Bond - 10 Year Yield,1.68
2011-06-22,CH-BOND-AAA,Swiss Bond AAA-BBB (Total Return Index),116.55
