date,ticker,name,price
2016-09-28,CRM-US,"Salesforce, Inc.",71.62
2016-09-28,CVX-US,Chevron Corporation,102.15
2016-09-28,NVDA-US,NVIDIA Corporation,1.67
2016-09-28,MMM-US,3M Company,148.48
2016-09-28,PG-US,Procter & Gamble Company,89.46
2016-09-28,WMT-US,Walmart Inc.,23.93
2016-09-28,MRK-US,"Merck & Co., Inc.",60.36
2016-09-28,DIS-US,Walt Disney Company,92.2
2016-09-28,KO-US,Coca-Cola Company,42.15
2016-09-28,CSCO-US,"Cisco Systems, Inc.",31.5
2016-09-28,NKE-US,"NIKE, Inc. Class B",53.25
2016-09-28,VZ-US,Verizon Communications Inc.,52.06
2016-09-29,GS-US,"Goldman Sachs Group, Inc.",158.95
2016-09-29,CAT-US,Caterpillar Inc.,87.47
2016-09-29,MSFT-US,Microsoft Corporation,57.4
2016-09-29,HD-US,"Home Depot, Inc.",127.93
2016-09-29,SHW-US,Sherwin-Williams Company,92.43
2016-09-29,AMGN-US,Amgen Inc.,165.45
2016-09-29,AXP-US,American Express Company,63.37
2016-09-29,MCD-US,McDonald's Corporation,114.79
2016-09-29,V-US,Visa Inc. Class A,81.92
2016-09-29,JPM-US,JPMorgan Chase & Co.,65.65
2016-09-29,TRV-US,"Travelers Companies, Inc.",113.87
2016-09-29,UNH-US,UnitedHealth Group Incorporated,138.32
2016-09-29,IBM-US,International Business Machines Corporation,151.02
2016-09-29,AAPL-US,Apple Inc.,28.05
2016-09-29,JNJ-US,Johnson & Johnson,117.27
2016-09-29,BA-US,Boeing Company,131.03
2016-09-29,HON-US,Honeywell International Inc.,104.22
2016-09-29,AMZN-US,"Amazon.com, Inc.",41.45
2016-09-29,CRM-US,"Salesforce, Inc.",71.2
2016-09-29,CVX-US,Chevron Corporation,101.27
2016-09-29,NVDA-US,NVIDIA Corporation,1.69
2016-09-29,MMM-US,3M Company,146.62
2016-09-29,PG-US,Procter & Gamble Company,88.23
2016-09-29,WMT-US,Walmart Inc.,23.58
2016-09-29,MRK-US,"Merck & Co., Inc.",59.03
2016-09-29,DIS-US,Walt Disney Company,91.8
2016-09-29,KO-US,Coca-Cola Company,42.03
2016-09-29,CSCO-US,"Cisco Systems, Inc.",31.39
2016-09-29,NKE-US,"NIKE, Inc. Class B",52.16
2016-09-29,VZ-US,Verizon Communications Inc.,52.12
2016-09-30,GS-US,"Goldman Sachs Group, Inc.",161.27
2016-09-30,CAT-US,Caterpillar Inc.,88.77
2016-09-30,MSFT-US,Microsoft Corporation,57.6
2016-09-30,HD-US,"Home Depot, Inc.",128.68
2016-09-30,SHW-US,Sherwin-Williams Company,92.22
2016-09-30,AMGN-US,Amgen Inc.,166.81
2016-09-30,AXP-US,American Express Company,64.04
2016-09-30,MCD-US,McDonald's Corporation,115.36
2016-09-30,V-US,Visa Inc. Class A,82.7
2016-09-30,JPM-US,JPMorgan Chase & Co.,66.59
2016-09-30,TRV-US,"Travelers Companies, Inc.",114.55
2016-09-30,UNH-US,UnitedHealth Group Incorporated,140.0
2016-09-30,IBM-US,International Business Machines Corporation,151.73
2016-09-30,AAPL-US,Apple Inc.,28.26
2016-09-30,JNJ-US,Johnson & Johnson,118.13
2016-09-30,BA-US,Boeing Company,131.74
2016-09-30,HON-US,Honeywell International Inc.,104.57
2016-09-30,AMZN-US,"Amazon.com, Inc.",41.87
2016-09-30,CRM-US,"Salesforce, Inc.",71.33
2016-09-30,CVX-US,Chevron Corporation,102.92
2016-09-30,NVDA-US,NVIDIA Corporation,1.71
2016-09-30,MMM-US,3M Company,147.34
2016-09-30,PG-US,Procter & Gamble Company,89.75
2016-09-30,WMT-US,Walmart Inc.,24.04
2016-09-30,MRK-US,"Merck & Co., Inc.",59.51
2016-09-30,DIS-US,Walt Disney Company,92.86
2016-09-30,KO-US,Coca-Cola Company,42.32
2016-09-30,CSCO-US,"Cisco Systems, Inc.",31.72
2016-09-30,NKE-US,"NIKE, Inc. Class B",52.65
2016-09-30,VZ-US,Verizon Communications Inc.,51.98
2016-10-03,GS-US,"Goldman Sachs Group, Inc.",161.07
2016-10-03,CAT-US,Caterpillar Inc.,88.28
2016-10-03,MSFT-US,Microsoft Corporation,57.42
2016-10-03,HD-US,"Home Depot, Inc.",128.5
2016-10-03,SHW-US,Sherwin-Williams Company,91.95
2016-10-03,AMGN-US,Amgen Inc.,167.34
2016-10-03,AXP-US,American Express Company,63.81
2016-10-03,MCD-US,McDonald's Corporation,114.64
2016-10-03,V-US,Visa Inc. Class A,82.86
2016-10-03,JPM-US,JPMorgan Chase & Co.,66.51
2016-10-03,TRV-US,"Travelers Companies, Inc.",113.0
2016-10-03,UNH-US,UnitedHealth Group Incorporated,138.49
2016-10-03,IBM-US,International Business Machines Corporation,150.54
2016-10-03,AAPL-US,Apple Inc.,28.13
2016-10-03,JNJ-US,Johnson & Johnson,118.81
2016-10-03,BA-US,Boeing Company,132.38
2016-10-03,HON-US,Honeywell International Inc.,104.69
2016-10-03,AMZN-US,"Amazon.com, Inc.",41.84
2016-10-03,CRM-US,"Salesforce, Inc.",70.52
2016-10-03,CVX-US,Chevron Corporation,102.45
2016-10-03,NVDA-US,NVIDIA Corporation,1.71
2016-10-03,MMM-US,3M Company,146.35
2016-10-03,PG-US,Procter & Gamble Company,88.66
2016-10-03,WMT-US,Walmart Inc.,24.0
2016-10-03,MRK-US,"Merck & Co., Inc.",59.61
2016-10-03,DIS-US,Walt Disney Company,92.49
2016-10-03,KO-US,Coca-Cola Company,42.03
2016-10-03,CSCO-US,"Cisco Systems, Inc.",31.5
2016-10-03,NKE-US,"NIKE, Inc. Class B",52.67
2016-10-03,VZ-US,Verizon Communications Inc.,51.88
2016-10-04,GS-US,"Goldman Sachs Group, Inc.",162.27
2016-10-04,CAT-US,Caterpillar Inc.,87.51
2016-10-04,MSFT-US,Microsoft Corporation,57.24
2016-10-04,HD-US,"Home Depot, Inc.",128.2
2016-10-04,SHW-US,Sherwin-Williams Company,90.33
2016-10-04,AMGN-US,Amgen Inc.,167.55
2016-10-04,AXP-US,American Express Company,63.91
2016-10-04,MCD-US,McDonald's Corporation,113.5
2016-10-04,V-US,Visa Inc. Class A,82.73
2016-10-04,JPM-US,JPMorgan Chase & Co.,66.6
2016-10-04,TRV-US,"Travelers Companies, Inc.",112.32
2016-10-04,UNH-US,UnitedHealth Group Incorporated,138.16
2016-10-04,IBM-US,International Business Machines Corporation,149.44
2016-10-04,AAPL-US,Apple Inc.,28.25
2016-10-04,JNJ-US,Johnson & Johnson,118.82
2016-10-04,BA-US,Boeing Company,132.25
2016-10-04,HON-US,Honeywell International Inc.,103.63
2016-10-04,AMZN-US,"Amazon.com, Inc.",41.7
2016-10-04,CRM-US,"Salesforce, Inc.",72.63
2016-10-04,CVX-US,Chevron Corporation,101.27
2016-10-04,NVDA-US,NVIDIA Corporation,1.71
2016-10-04,MMM-US,3M Company,143.54
2016-10-04,PG-US,Procter & Gamble Company,88.35
2016-10-04,WMT-US,Walmart Inc.,23.92
2016-10-04,MRK-US,"Merck & Co., Inc.",59.56
2016-10-04,DIS-US,Walt Disney Company,92.59
2016-10-04,KO-US,Coca-Cola Company,41.84
2016-10-04,CSCO-US,"Cisco Systems, Inc.",31.35
2016-10-04,NKE-US,"NIKE, Inc. Class B",52.14
