date,ticker,name,price
2015-12-17,HOLN-CH,Holcim Ltd,23.848644
2015-12-17,ROG-CH,Roche Holding Ltd Dividend Right Cert.,270.1
2015-12-17,ABBN-CH,ABB Ltd.,17.150118
2015-12-17,NOVN-CH,Novartis AG,71.3839
2015-12-17,ZURN-CH,Zurich Insurance Group Ltd,251.0
2015-12-17,GIVN-CH,Givaudan SA,1808.0
2015-12-17,GEBN-CH,Geberit AG,336.2
2015-12-17,SCMN-CH,Swisscom AG,494.8
2015-12-18,LOGN-CH,Logitech International S.A.,14.7
2015-12-18,UBSG-CH,UBS Group AG,19.23
2015-12-18,SREN-CH,Swiss Re AG,97.6
2015-12-18,CFR-CH,Compagnie Financiere Richemont SA,70.9
2015-12-18,SLHN-CH,Swiss Life Holding AG,265.7
2015-12-18,PGHN-CH,Partners Group Holding AG,357.5
2015-12-18,LONN-CH,Lonza Group AG,145.42752
2015-12-18,KNIN-CH,Kuehne & Nagel International AG,134.8
2015-12-18,SIKA-CH,Sika AG,59.001175
2015-12-18,NESN-CH,Nestle S.A.,73.05
2015-12-18,HOLN-CH,Holcim Ltd,23.36282
2015-12-18,ROG-CH,Roche Holding Ltd Dividend Right Cert.,268.9
2015-12-18,ABBN-CH,ABB Ltd.,16.870234
2015-12-18,NOVN-CH,Novartis AG,71.00688
2015-12-18,ZURN-CH,Zurich Insurance Group Ltd,251.7
2015-12-18,GIVN-CH,Givaudan SA,1763.0
2015-12-18,GEBN-CH,Geberit AG,333.0
2015-12-18,SCMN-CH,Swisscom AG,492.2
2015-12-21,LOGN-CH,Logitech International S.A.,14.75
2015-12-21,UBSG-CH,UBS Group AG,18.97
2015-12-21,SREN-CH,Swiss Re AG,98.2
2015-12-21,CFR-CH,Compagnie Financiere Richemont SA,70.25
2015-12-21,SLHN-CH,Swiss Life Holding AG,264.3
2015-12-21,PGHN-CH,Partners Group Holding AG,357.0
2015-12-21,LONN-CH,Lonza Group AG,144.31598
2015-12-21,KNIN-CH,Kuehne & Nagel International AG,133.7
2015-12-21,SIKA-CH,Sika AG,59.051178
2015-12-21,NESN-CH,Nestle S.A.,72.3
2015-12-21,HOLN-CH,Holcim Ltd,23.213705
2015-12-21,ROG-CH,Roche Holding Ltd Dividend Right Cert.,268.1
2015-12-21,ABBN-CH,ABB Ltd.,16.793024
2015-12-21,NOVN-CH,Novartis AG,70.3785
2015-12-21,ZURN-CH,Zurich Insurance Group Ltd,250.2
2015-12-21,GIVN-CH,Givaudan SA,1760.0
2015-12-21,GEBN-CH,Geberit AG,328.8
2015-12-21,SCMN-CH,Swisscom AG,486.0
2015-12-22,LOGN-CH,Logitech International S.A.,14.75
2015-12-22,UBSG-CH,UBS Group AG,18.98
2015-12-22,SREN-CH,Swiss Re AG,97.55
2015-12-22,CFR-CH,Compagnie Financiere Richemont SA,70.75
2015-12-22,SLHN-CH,Swiss Life Holding AG,262.4
2015-12-22,PGHN-CH,Partners Group Holding AG,357.75
2015-12-22,LONN-CH,Lonza Group AG,144.31598
2015-12-22,KNIN-CH,Kuehne & Nagel International AG,134.1
2015-12-22,SIKA-CH,Sika AG,59.617855
2015-12-22,NESN-CH,Nestle S.A.,71.45
2015-12-22,HOLN-CH,Holcim Ltd,23.36763
2015-12-22,ROG-CH,Roche Holding Ltd Dividend Right Cert.,267.2
2015-12-22,ABBN-CH,ABB Ltd.,16.812326
2015-12-22,NOVN-CH,Novartis AG,69.792015
2015-12-22,ZURN-CH,Zurich Insurance Group Ltd,250.3
2015-12-22,GIVN-CH,Givaudan SA,1767.0
2015-12-22,GEBN-CH,Geberit AG,328.4
2015-12-22,SCMN-CH,Swisscom AG,486.1
2015-12-23,LOGN-CH,Logitech International S.A.,14.85
2015-12-23,UBSG-CH,UBS Group AG,19.31
2015-12-23,SREN-CH,Swiss Re AG,98.45
2015-12-23,CFR-CH,Compagnie Financiere Richemont SA,71.95
2015-12-23,SLHN-CH,Swiss Life Holding AG,265.3
2015-12-23,PGHN-CH,Partners Group Holding AG,358.0
2015-12-23,LONN-CH,Lonza Group AG,147.558
2015-12-23,KNIN-CH,Kuehne & Nagel International AG,135.5
2015-12-23,SIKA-CH,Sika AG,60.051197
2015-12-23,NESN-CH,Nestle S.A.,73.35
2015-12-23,HOLN-CH,Holcim Ltd,24.243076
2015-12-23,ROG-CH,Roche Holding Ltd Dividend Right Cert.,272.5
2015-12-23,ABBN-CH,ABB Ltd.,17.217676
2015-12-23,NOVN-CH,Novartis AG,71.25823
2015-12-23,ZURN-CH,Zurich Insurance Group Ltd,255.7
